nom,adresse,description,telephone,courriel,site_web,territoire,clientele,categorie_territoire
hec montréal - vie sur le campus - logement,"3000, chemin de la Côte-Sainte-Catherine Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3T 2A7",Site Internet d'informations sur le logement. Recherche de logement. Démarches d'installation. Pour les personnes étudiantes seulement: annonces de location.,,logement@hec.ca,hec.ca/etudiants/vie-sur-le-campus/logement/index.html,le Québec,"information: grand public, annonces de location: personnes étudiantes",provincial
hôpital général juif - clinique maladies infectieuses et itss,"3755, chemin Côte-Sainte-Catherine Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3T 1E2",Clinique de prévention et de dépistage des maladies infectueuses et des ITSS sans rendez-vous.,514 340-8230,infection.consult.ccomtl@ssss.gouv.qc.ca,www.hgj.ca/soins-et-services/maladies-infectieuses/clinique-sans-rendez-vous-pour-maladies-infectieuses,île de Montréal,,montreal
résidence funéraire curé-poirier,"635, boulevard Curé-Poirier Ouest Longueuil Montérégie QC J4J 2H8",Coopérative funéraire.,1 877 677-2230,accueil@cfgm.coop,www.cfgrandmontreal.com,le Québec,,provincial
bibliothèque et centre d'informatique atwater,"1200, avenue Atwater Westmount Montréal QC H3Z 1X4","Prêt et vente de documents en anglais en formats variés. Livres, livres électroniques, livres audio, CDs, DVDs. Livraison pour personnes en perte d'autonomie. Librairie de semences. Accès à des ordina...",514 935-7344,info@atwaterlibrary.ca,atwaterlibrary.ca,"Grand Montréal, en ligne: le Québec, livraison: centre-ville de Montréal",grand public,grand_montreal
café de la maison ronde,"2330, rue Sainte-Catherine Ouest Ville-Marie Montréal QC H3H 1N2","Accompagnement des personnes autochtones de 18 ans et plus en situation de vulnérabilité économique et sociale vers la citoyenneté entière. Volet 1, programme de travail alternatif à la journée: 1 qua...",514 872-9465,marilou.maisonneuve@itineraire.ca,www.itineraire.ca/programme-maison-ronde,Grand Montréal,"personnes autochtones de 18 ans et plus en situation de vulnérabilité économique et sociale (itinérance, pauvreté, isolement et exclusion sociale, éloignement du marché du travail, toxicomanie, santé mentale, etc.)",grand_montreal
havre (le),"440, avenue Notre-Dame Saint-Lambert Montérégie QC J4P 2K4","Logement à long terme pour personnes atteintes d'une maladie mentale. Visites amicales, contacts sociaux réguliers. Assistance pour les procédures médicales, sociales et de services sociaux. Référence...",450 671-9160,info@ourharbour.org,ourharbour.org,"île de Montréal, Montérégie, Estrie",personnes de 18 ans et plus vivant avec un diagnostic de santé mentale,montreal
centre international de l'espoir,"5885, chemin De la Côte-des-Neiges Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2T2","Aide aux familles vivant en situation de pauvreté. Programme Banque du bébé et de l'enfant: aide matérielle (lait, dons de mobilier, équipements, jouets et accessoires de base) pour nouveaux-nés et po...",514 561-1088,infos@ciespoir.org,,île de Montréal,"femmes enceintes vivant en situation de pauvreté, enfants de 0 à 5 ans, familles à faible revenu avec ou sans statut de résidence",montreal
art-rivé (l') - centre de jour de rivière-des-prairies,"8178, boulevard Maurice-Duplessis Rivière-des-Prairies—Pointe-aux-Trembles Montréal QC H1E 2Y5","Rencontres d'accueil. Information et orientation. Écoute ponctuelle et suivi. Accueil repas pour le dîner. Groupes de soutien et d'entraide. Ateliers d'art et de créativité. Activités éducatives, d",514 648-4888,info@art-rive.qc.ca,www.art-rive.qc.ca,île de Montréal,personnes autonomes de 18 ans et plus ayant des problèmes de santé mentale transitoires ou persistants,montreal
association de la communauté noire de côte-des-neiges,"6585, chemin de la Côte-des-Neiges Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2A5","Soutien et activités pour la communauté noire anglophone. Information, référence.? Paniers de nourriture. Activités sportives pour adolescent·e·s, adultes et personnes aînées. Activités et ateliers s",514 737-8321,info@cdnbca.org,cdnbca.org,Grand Montréal,familles et personnes de la communauté noire,grand_montreal
centre culturel canadien-bulgare zornica - récupération d'articles usagés,"6767, chemin de la Côte-des-Neiges, bureau 693-3 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2T6","Récupération d'articles usagés: nourriture, mobilier, vêtements, électroménagers, articles de maison, jouets, livres. Collecte à domicile.",,donation.zornica@gmail.com,www.zornitsa.ca/fr,Grand Montréal,"grand public, en particulier la communauté bulgare",grand_montreal
"service d'interprète, d'aide et de référence aux immigrants - clinique d'impôts","6767, chemin de la Côte-des-Neiges, bureau 499 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2T6","Clinique d'impôts sans rendez-vous, à l'année.",514 738-4763,info@siari.org,www.siari.org,île de Montréal,personnes immigrantes et personnes nouvelles arrivantes à faible revenu,montreal
centre culturel canadien-bulgare zornica,"6767, chemin de la Côte-des-Neiges, bureau 693-3 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2T6","Immigration Accueil et accompagnement pour personnes nouvellement arrivées. Traduction en bulgare, anglais, français. Cours de langue: français, anglais, bulgare.Logement Aide à la recherche de logeme...",514 629-6951,zornica.info@gmail.com,www.zornitsa.ca/fr,Grand Montréal,"cours de bulgare et événements culturels: grand public, autres services: personnes de la communauté bulgare, personnes nouvellement arrivées",grand_montreal
centre communautaire irakien,"6767, chemin de la Côte-des-Neiges, bureau 601-4 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2T6",Assistance à la communauté irakienne. Aide à la recherche de logement et d'emploi. Organisation d'activités communautaires. Représentation de la communauté auprès des instances locales et nationales. ...,,info@iraqicommunitycenter.com,iraqicommunitycenter.com,île de Montréal,personnes faisant partie de la communauté irakienne,montreal
communauté moldave du québec,"6767, chemin de la Côte-des-Neiges, bureau 693-5 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2T6","Intégration de la communauté moldave et roumaine à la société québécoise. Coopération intergénérationnelle. Aide aux personnes nouvellement arrivées: formation sur l'intégration, consultations individ...",438 937-3608,cm.quebec@yahoo.com,www.moldovaquebec.ca,le Québec,communauté de l'Europe de l'Est,provincial
communauté vietnamienne au canada - région montréal,"6767, chemin de la Côte-des-Neiges, bureau 495 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2T6",Services de références et d'accompagnement dans la démarche d'intégration pour les personnes de la communauté vietnamienne. Information et références. Accompagnement dans la recherche d'emploi. Cours ...,514 340-9630,communaute.viet.montreal@gmail.com,communautevietmontreal.com,Grand Montréal,population d'origine vietnamienne,grand_montreal
association des parents de côte-des-neiges,"6767, chemin de la Côte-des-Neiges, bureau 498 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2T6","Ateliers pour parents et parents-enfants: programme YAPP sur le rôle et les aptitudes parentales, ateliers d'éveil à la lecture et l'écriture, ateliers de stimulation par le jeu, ateliers pour les enf...",514 341-2844,assoc.parents.cdn@gmail.com,www.assoparentscdn.org,"île de Montréal, particulièrement Côte-des-Neiges et Notre-Dame-de-Grâce",parents avec enfants âgés de 0 à 5 ans,montreal
femmes du monde à côte-des-neiges,"6767, chemin de la Côte-des-Neiges, bureau 597 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2T6","Centre de femmes. Accueil, information, référence. Écoute en personne ou par téléphone. Groupe de soutien aux sujets variés: violence conjugale, santé mentale, gestion des émotions, relations difficil...",514 735-9027,info@femmesdumondecdn.org,femmesdumondecdn.org,Côte-des-Neiges-Notre-Dame-de-Grâce et Montréal,femmes et personnes non-binaires de 18 ans et plus,montreal
centre d'orientation des nouveaux arrivants et immigrants de montréal,"6767, chemin de la Côte-des-Neiges, bureau 693-4 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2T6",Accueil et références. Consultation individuelle. Certification de documents. Préparation à l'examen de citoyenneté. Employabilité: aide à la rédaction de CV et de lettres de présent,514 733-0738,conamc6@hotmail.ca,www.conam.sitew.ca,Grand Montréal,"personnes nouvellement arrivées, personnes immigrantes, toute personne dans le besoin",grand_montreal
"service d'interprète, d'aide et de référence aux immigrants","6767, chemin de la Côte-des-Neiges, bureau 499 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2T6",Alimentation Distribution de denrées alimentaires.Immigrants Vêtements d'hiver. Accompagnement des personnes nouvellement arrivées dans toutes leurs démarches d'intégration. Accompagnement au r,514 738-4763,info@siari.org,www.siari.org,Québec,"personnes et familles immigrantes, cartes d'attestation: personnes avec un statut précaire ou de résident temporaire qui n'ont pas obtenu le renouvellement de leur visa de touriste, de leur permis d'études ou de leur permis de travail, et qui n'ont pas quitté le Canada, personnes dont la demande d'asile a été refusée, personnes entrées au Canada de façon irrégulière, personnes trans en attente de nouveaux documents d'identification, personnes en situation d'itinérance",provincial
institut de formation d'aide communautaire à l'enfant et à la famille,"560, boulevard Henri-Bourassa Ouest, bureau 209 Ahuntsic-Cartierville Montréal QC H3L 1P4","Thérapie individuelle, conjugale et familiale. Psychodrame. Consultation parentale. Écoles: intervention auprès des élèves, programmes de perfectionnement pour les enseignant·e·s et",514 388-7216,ifacef@ifacef.com,,le Québec,"enfants, familles, écoles, centres jeunesse, organismes communautaires, intervenant·e·s",provincial
société huntington du québec,"2300, boulevard René-Lévesque Ouest Ville-Marie Montréal QC H3H 2R5","Ateliers de stimulation sensorimotrice hebdomadaires pour les personnes atteintes. Écoute, soutien et références. Documentation en ligne. Groupe d'entraide ouvert pour les proches aidant·e·s et les fa...",1 877 282-2444,shq@huntingtonqc.org,www.huntingtonqc.org,le Québec,"adultes et adolescent·e·s atteint·e·s de la maladie de Huntington, leurs proches aidant·e·s, leur famille, les professionnels de santé travaillant avec eux",provincial
fondation papillon,"2300, boulevard René-Lévesque Ouest Ville-Marie Montréal QC H3H 2R5","Les Répits Papillon accueillent des personnes en situation de handicap, âgées de 3 ans et plus, pour un séjour d'un week-end, afin de permettre à leurs proches de se reposer.Camp de vacances adapté Ca...",1 877 937-6171,info@fondationpapillon.ca,fondationpapillon.ca,le Québec,"personnes vivant avec un handicap physique, intellectuel ou un trouble du spectre de l'autisme, garderie Papillon: enfants de 3 mois à 5 ans, vivant avec ou sans un handicap physique, intellectuel ou un trouble du spectre de l'autisme, centre de jour: adultes de 21 ans et plus",provincial
résidence ymca,"4039, rue Tupper Westmount Montréal QC H3Z 1T5",Hébergement temporaire avec services. Vestiaire d'urgence. Salle familiale et sorties socioculturelles. Information et aide avec le processus d'immigration et d'intégration pour réfugié·e·s. Ateliers ...,514 932-5353,baptiste.duburcq@ymcaquebec.org,www.ymcaquebec.org,le Québec,"réfugié·e·s et demandeur·euse·s d'asile nouvellement arrivé·e·s au Canada, hébergement: réfugié·e·s et demandeur·euse·s d'asile, avec ou sans enfants, arrivé·e·s depuis moins de 10 jours au Québec",provincial
unicef québec,"4060, rue Sainte-Catherine Ouest, bureau 400 Westmount Montréal QC H3Z 2Z3",Organisation humanitaire qui vise à l'amélioration et à la promotion de la condition des enfants. Promotion des droits et du bien-être des enfants et des jeunes. Collecte de fonds pour soutenir les pr...,514 288-5134,info@unicef.ca,www.unicef.ca/fr,le Québec,,provincial
association des nutritionnistes cliniciens du québec,"10922, rue Jeanne-Mance Ahuntsic-Cartierville Montréal QC H3L 3C6",Représentation des intérêts des membres et de la profession. Promotion de la qualité des actes professionnels en nutrition clinique.,514 725-5535,info@ancq.org,www.ancq.org,le Québec,nutritionnistes,provincial
fédération des médecins omnipraticiens du québec,"2, place Alexis-Nihon, 20e étage Westmount Montréal QC H3Z 3C1",Défense des intérêts professionnels et scientifiques des médecins omnipraticien·ne·s. Soutien aux membres. Promotion de la qualité des soins et des conditions de travail.,1 800 361-8499,info@fmoq.org,www.fmoq.org,le Québec,médecins omnipraticien·ne·s,provincial
hôpital général juif,"3755, chemin de la Côte-Sainte-Catherine Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3T 1E2","Soins généraux, spécialisés et ultra-spécialisés de courte durée. Urgences. Désintoxication. Clinique dentaire. Clinique maladies infectieuses et ITSS.",514 340-8222,,www.hgj.ca,le Québec,,provincial
hôpital général juif - clinique dentaire,"5750, chemin de la Côte-des-Neiges Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 1Y9","Clinique de soins dentaires complets, affiliée à la Faculté de médecine dentaire de l'Université McGill. Examens et nettoyage. Obturations. Traitement de canal. Périodontie. Prothèses. Procédures chir...",514 340-7910,,www.hgj.ca/soins-et-services/dentisterie,île de Montréal,,montreal
march of dimes after stroke - montréal stroke club chapter,"395, avenue Elm Westmount Montréal QC H3Z 1Z4",Groupes de soutien par les pairs. Réseau de soutien et activités sociales. Club pour les victimes d'AVC en convalescence. Répit pour les aidants. Orthophonie. Arts et artisanat.,1 888 540-6666,afterstroke@marchofdimes.ca,www.apres-avc.ca,Grand Montréal,"personnes ayant survécu à un AVC, leur famille, aidant·e·s, professionnel·le·s de la santé, bénévoles, ami·e·s",grand_montreal
université de montréal - clinique universitaire de la vision,"3744, rue Jean-Brillant, bureau 110 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3T 1P1","Services optiques offerts par des étudiant·e·s sous la supervision d'optométristes praticien·ne·s expérimenté·es. Clinique générale et d'urgence. Contrôle de la myopie. Lunettes, lentilles cor",514 343-6082,,www.opto.umontreal.ca/clinique,Grand Montréal,"population générale, personnes étudiantes",grand_montreal
centres de la jeunesse et de la famille batshaw (les),"5, rue Weredale Park Westmount Montréal QC H3Z 1Y5",Protection de la jeunesse. Services psychosociaux. Services de réadaptation et d'intégration sociale. Hébergement. Expertise à la Cour supérieure et médiation familiale. Services en matière de placem,514 989-1885,,www.batshaw.qc.ca,"île de Montréal, services résidentiels: le Québec","jeunes anglophones de moins de 18 ans, leur famille et membres de la communauté juive anglophones ou francophones",montreal
comité des usagers des centres de la jeunesse et de la famille batshaw,"5, rue Weredale Park Westmount Montréal QC H3Z 1Y5",Comité des personnes usagères. Renseignements sur les droits et obligations. Défense des droits et intérêts. Accompagnement dans les démarches et pour porter plainte.,514 989-1885,,ciusss-ouestmtl.gouv.qc.ca/infos-pour-les-usagers/droits-des-usagers/usagers,île de Montréal,personnes usagères des Centres de la jeunesse et de la famille Batshaw,montreal
hôpital général juif - programme méthadone,"3755, chemin de la Côte-Sainte-Catherine Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3T 1E2",Traitement d'entretien externe à long terme par drogue de substitution (méthadone ou suboxone) pour les dépendances aux opiacées.,514-340-8273,herzl.equipe8.ccomtl@ssss.gouv.qc.ca,https://www.hgj.ca/soins-et-services/centre-de-medecine-familiale-goldman-herzl/equipe-medicale-centre-de-medecine-familiale-goldman-herzl/methadone/,le Québec,"personnes de 16 ans et plus vivant avec une dépendance aux opiacées, priorité: femmes enceintes et jeunes",provincial
cancer colorectal canada,"1, carré Westmount, bureau 1630 Westmount Montréal QC H3Z 2P9","Soutien aux personnes vivant avec le cancer colorectal. Information et soutien psychologique individuel par téléphone. Groupes de soutien en virtuel. Sensibilisation, séances d'éducation et webinaires...",514 875-7745,info@colorectalcancercanada.com,www.colorectalcancercanada.com/fr,le Québec,"adultes vivant avec le cancer colorectal, leurs proches et personnes proches aidantes",provincial
montréal - ville - écocentre acadie,"1200, boulevard Henri-Bourassa Ouest Ahuntsic-Cartierville Montréal QC H3M 3G1","Site de réemploi et de récupération des matières résiduelles. Appareils de réfrigération, de congélation et de climatisation contenant des halocarbures. Électroménagers. Encombrants rembourrés. Matièr...",514 872-0384,,montreal.ca/lieux/ecocentre-acadie,île de Montréal,"grand public, propriétaires d'immeuble à logements multiples, organismes à but non lucratif, entreprises de construction",montreal
centre hospitalier de st. mary,"3830, avenue Lacombe Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3T 1M5","Centre hospitalier affilié à l'Université McGill. Urgences. Médecine familiale, gériatrie, chirurgie, oncologie et obstétrique. Désintoxication.",514 345-3511,,www.smhc.qc.ca/fr,le Québec,,provincial
unité permanente anticorruption (l'),"2100, avenue Pierre-Dupuy, Aile 2, 3e étage, local 3010 Ville-Marie Montréal QC H3C 3R5","Regroupement d'organismes publics sous la responsabilité du Commissaire à la lutte contre la corruption exerçant des activités de prévention et d'enquête en matière de corruption, de collusion et de f...",1 855 567-8722,,upac.gouv.qc.ca,le Québec,,provincial
collège de bois-de-boulogne,"10555, avenue de Bois-de-Boulogne Ahuntsic-Cartierville Montréal QC H4N 1L4","Établissement public d'enseignement de niveau collégial. Programmes préuniversitaires et techniques (DEC), attestation d'études collégiales (AEC). Formation continue. Francisation pour personnes immig...",514 332-3000,info@bdeb.qc.ca,www.bdeb.qc.ca,le Québec,,provincial
oratoire saint-joseph du mont-royal (l'),"3800, chemin Queen-Mary Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3V 1H6","Sanctuaire dédié à Saint Joseph et fondé par Saint frère André en 1904. Lieu spirituel et historique. Musée, concerts, jardins, visites guidées. Messes, pèlerinages, célébrations, etc.",514 733-8211,info@osj.qc.ca,saint-joseph.org,Montréal,,montreal
pavillon jean xxiii de l'oratoire saint-joseph,"3800, chemin Queen-Mary Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3V 1H6","Hôtellerie. Chambres simples, doubles et adaptées. Salle à manger, aire de repos, salle de réunion, chapelle.",514 733-8211 poste 2640,j23@osj.qc.ca,www.saint-joseph.org/fr,île de Montréal,personnes de 18 ans et plus,montreal
service de sensibilisation aux drogues et crime organisé,"4225, boulevard Dorchester Westmount Montréal QC H3Z 1V5","Prévention et sensibilisation. Outils, tableau et fiches d'information sur les drogues. Tableau de sensibilisation aux drogues: http://www.rcmp-grc.gc.ca/fr/qc/tableau-sensibilisation-aux-drogues",514 939-8300,,www.rcmp-grc.gc.ca/fr/qc/service-sensibilisation-aux-drogues-et-crime-organise,le Québec,,provincial
habitations saint-christophe (les),"15, rue Berri, bureau 1 Pont-Viau Laval QC H7G 2W4",Logements subventionnés avec services pour personnes aînées en perte d'autonomie. Chambres et 3½. Logements adaptés pour personnes à mobilité réduite. Présence d'un·e préposé·e aux bénéficiaires 24 he...,450 688-0184,info@omhlaval.ca,,le Québec,"personnes en perte d'autonomie sévère, adultes vivant avec une déficience physique grave",provincial
centre d'intégration à la vie active,"525, rue Dominion, bureau 330 Le Sud-Ouest Montréal QC H3J 2B4","Centre de loisirs et d'activités sportives, sociales, culturelles et récréatives pour personnes en situation de handicap. Soutien à l'intégration. Prêt de matériel sportif et de plein air. Volet jeune...",514 935-1109,info@civa.qc.ca,civa.qc.ca,île de Montréal,personnes en situation de handicap moteur,montreal
loisirs de l'acadie de montréal,"1405, boulevard Henri-Bourassa Ouest, bureau 003 Ahuntsic-Cartierville Montréal QC H3M 3B2","Activités sportives: soccer, hockey, basket-ball, badminton, yoga, zumba, Pickleball. Activités culturelles: ballet classique, danse, théâtre, dessin, mangas. École de musique: cours privés de guitare...",514 856-2224 poste 1,info@loisirsdelacadie.ca,loisirsdelacadie.ca,Montréal,grand public,montreal
acouphènes québec,"1405, boulevard Henri-Bourassa Ouest, bureau 100 Ahuntsic-Cartierville Montréal QC H3M 3B2",Service de renseignements téléphoniques sur les acouphènes. Soutien par téléphone. Référence vers les ressources professionnelles régionales. Groupe d'entraide mensuel ouvert.,1 877 276-7772,info@acouphenesquebec.org,acouphenesquebec.org,le Québec,personnes aux prises avec de l'acouphène,provincial
centre communautaire de l'avenue greene,"1090, avenue Greene Westmount Montréal QC H3Z 1Z9","Programme parascolaire. Camps de jour. Dîners communautaires pour personnes aînées. Activités sportives, créatives et éducatives. Ateliers. Location de salle.",514 931-6202,info@centregreene.org,centregreene.org/bienvenue,île de Montréal,grand public,montreal
centre d'action bénévole de montréal,"2330 rue Notre Dame Ouest, bureau 400 Le Sud-Ouest Montréal QC H3J 1N4",Promotion du bénévolat. Soutien aux organismes bénévoles. Recrutement et orientation de bénévoles vers des organismes. Formation et conférences pour coordonnateur·rice·s de bénévoles au sein d'organis...,514 842-3351,info@cabm.net,www.cabm.net,île de Montréal,"personnes, groupes ou entreprises désirant faire du bénévolat, organismes bénévoles et communautaires",montreal
bénévolat de compétences,"2330, rue Notre Dame Ouest, bureau 400 Ville-Marie Montréal QC H3G 1W7",Soutien aux organismes à but non lucratif.? Jumelage entre bénévoles du milieu des affaires et organismes à but non lucratif.,514 842-3351 poste 234,benevolatdaffaires@cabm.net,www.cabm.net,Grand Montréal,"organismes à but non lucratif ayant un besoin en matière de gestion ou d'opérations, entrepreneur·euse·s actif·ve·s, retraité·e·s ou étudiant·e·s de divers domaines d'activité (administration, communication, droit, etc.)",grand_montreal
regroupement les sages-femmes du québec,"2330, rue Notre-Dame Ouest, bureau 300 Le Sud-Ouest Montréal QC H3J 1N4",Représentation des sages-femmes. Information.,514 738-8090,info@rsfq.qc.ca,www.rsfq.qc.ca,le Québec,"sages-femmes, public général",provincial
société d'entraide des femmes grecques (la),"275, rue Houde, bureau 203 Saint-Laurent Montréal QC H4N 2J3",Intervention de crise. Dépannage alimentaire. Aide pour le paiement du loyer. Accompagnement dans les services publics. Aide financière pour frais de camps d'été pour enfants et personnes vivant avec ...,514 344-1666,info@hlbs.ca,www.hlbs.ca,Grand Montréal,personnes défavorisées de la communauté grecque,grand_montreal
front commun des personnes assistées sociales du québec,"2520, avenue Lionel-Groulx, bureau 322 Le Sud-Ouest Montréal QC H3J 1J8",Défense des droits des personnes assistées sociales. Regroupements. Référence vers les organismes régionaux.,514 987-1989,admin@fcpasq.qc.ca,fcpasq.qc.ca,le Québec,groupes et personnes assistées sociales,provincial
fédération des locataires d'habitations à loyer modique du québec,"2520, avenue Lionel-Groulx, bureau 202 Le Sud-Ouest Montréal QC H3J 1J8",Défense de droits. Représentation des locataires des HLM auprès de différents paliers gouvernementaux. Information et soutien technique. Publications.,1 800 566-9662,info@flhlmq.com,flhlmq.com,le Québec,locataires des habitations à loyer modique,provincial
front commun des personnes assistées sociales du québec,"2520, avenue Lionel-Groulx, bureau 322 Le Sud-Ouest Montréal QC H3J 1J8",Défense des droits des personnes assistées sociales. Regroupements. Référence vers les organismes régionaux.,514 987-1989,admin@fcpasq.qc.ca,fcpasq.qc.ca,le Québec,groupes et personnes assistées sociales,provincial
association jamaïcaine de montréal,"4065, rue Jean-Talon Ouest Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H4P 1W6","Soutien à la communauté jamaïcaine. Banque alimentaire. Aide aux immigrant·e·s jamaïcain·ne·s: aide avec le passeport jamaïcain, aide à l'application pour la citoyenneté canadienne, informations et ré...",514 737-8229,info@jam-montreal.com,jam-montreal.com,île de Montréal,"personnes d'origine jamaïcaine, banque alimentaire: personnes dans le besoin, programme Au Futur: jeunes femmes noires monoparentales de 15 à 35 ans",montreal
club de recherche d'emploi montréal centre-nord,"1600, boulevard Henri-Bourassa Ouest, bureau 370 Ahuntsic-Cartierville Montréal QC H3M 3E2","Ateliers de recherche d'emploi. Aide à la rédaction de CV, préparation aux entrevues. Services spécialisés pour personnes nouvellement arrivées. Exploration du marché caché de l'emploi. Aide pour remp...",514 858-6611,cre@cremcn.org,cremcn.org,île de Montréal,"personnes cherchant du travail et ayant un objectif d'emploi clair, personnes nouvellement arrivées à la recherche d'un emploi",montreal
ordre des conseillers et conseillères d'orientation du québec,"1600, boulevard Henri-Bourassa Ouest, bureau 520 Ahuntsic-Cartierville Montréal QC H3M 3E2","Ordre professionnel. Protection du public: réception des plaintes, évaluation des professionnel·le·s, accréditation. Formation et information sur la profession. Répertoire des orienteurs offr",1 800 363-2643,ordre@orientation.qc.ca,www.orientation.qc.ca,le Québec,"conseiller·ère·s d'orientation, leur clientèle et leurs employeur·se·s",provincial
ordre des psychoéducateurs et psychoéducatrices du québec,"1600, boulevard Henri-Bourassa Ouest, bureau 510 Ahuntsic-Cartierville Montréal QC H3M 3E2",Ordre professionnel. Protection du public. Vérification de la compétence des personnes qui adhèrent à l'Ordre. Surveillance de l'exercice de la profession et réception des plaintes. Soutien aux m,1 877 913-6601,info@ordrepsed.qc.ca,ordrepsed.qc.ca,le Québec,"grand public, psychoéducateur·rices",provincial
cercle amical de montréal,"4585, avenue Bourret Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 1X1","Favorise l'inclusion et l'interaction des enfants, adolescent·e·s et jeunes adultes ayant des besoins spécifiques. Jumelage avec des adolescents neurotypiques pour participer à des activités sociales ...",514 735-2255,info@friendshipcircle.ca,www.cercledelamitie.ca,île de Montréal,"enfants, adolescent·e·s et jeunes adultes avec des besoins particuliers liés au trouble du spectre de l'autisme, aux troubles envahissants du développement, aux troubles d'apprentissage, aux déficiences physiques ou intellectuelles, aux lésions cérébrales ou autres, leurs familles",montreal
abri en ville (l'),"2352, rue Duvernay Le Sud-Ouest Montréal QC H3J 2X1",Logement stable. Soutien à l'amélioration des aptitudes à la vie quotidienne. Activités sociales et loisirs. Suivi hebdomadaire ou sur demande.,514 932-2199,info@labrienville.org,www.labrienville.org,Grand Montréal,adultes vivant avec une maladie mentale grave,grand_montreal
groupe de ressources techniques - bâtir son quartier,"2155, rue Saint-Patrick Le Sud-Ouest Montréal QC H3K 0B9",Développement et réalisation de projets d'habitations communautaires. Administration financière du projet pendant sa réalisation. Organisation administrative des groupes promoteurs de projets immobili,514 933-2755,grt@batirsonquartier.com,www.batirsonquartier.com,"île de Montréal, Longueuil, Laval","locataires, groupes communautaires, coopératives, centres de la petite enfance, centres communautaires",grand_montreal
montréal autochtone,"3183, rue Saint-Jacques Le Sud-Ouest Montréal QC H4C 1G7","Lieu de rencontre. Programme de bien-être familial: soutien éducatif aux enfants, aide pour trouver les services, services culturels pour les familles. Camps de jour de printemps et d'été Iorahkote. C...",514 331-6587 poste 210,info@nativemontreal.com,nativemontreal.com/fr/acceuil,Grand Montréal,"communauté autochtone urbaine, familles, jeunes, personnes aînées",grand_montreal
reso,"3181, rue Saint-Jacques Le Sud-Ouest Montréal QC H4C 1G7","Services de soutien à la recherche d'emploi, en individuel ou en groupe, préparation au retour aux études et aide à l'identification d'un objectif professionnel. Évaluation des besoins et plan d'actio...",514 931-5737 poste 254,reso@resocjeso.com,resomtl.com,île de Montréal,"personnes sans-emploi, personnes travaillant à temps partiel, entreprises et organismes ayant des besoins en main d'oeuvre",montreal
observatoire vieillissement et société (l'),"4565, chemin Queen-Mary, bureau C2628 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3W 1W5",Groupe de recherche pour le mieux-être des personnes aînées. Ateliers de sensibilisation: lutte contre l'âgisme et la maltraitance. Espace réflexion: rencontre mensuelle offrant un lieu de discussion ...,514 340-3540 poste 3927,info@ovs-oas.org,ovs-oas.org,le Québec,grand public,provincial
institut universitaire de gériatrie de montréal,"4565, chemin Queen-Mary Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3W 1W5",Centre de soins spécialisés en santé des personnes âgées affilié à l'Université de Montréal. Unité de courte durée. Unité de réadaptation fonctionnelle intensive. Programme d'hébergement pour évaluati...,514 340-2800,,ciusss-centresudmtl.gouv.qc.ca/etablissement/institut-universitaire-de-geriatrie-de-montreal-iugm,île de Montréal,personnes aînées,montreal
centre de bien-être l'espoir c'est la vie,"4635, chemin de la Côte-Sainte-Catherine Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3W 1M1","Groupes d'entraide en français et en anglais pour personnes ayant un cancer, personnes proches aidantes et personnes vivant un deuil relié au cancer. Jumelage et soutien par des bénévoles. Activités e...",514 340-3616,hopecope@jgh.mcgill.ca,hopeandcope.ca/fr/?lang=fr,Grand Montréal,"personnes ayant un diagnostic de cancer, personnes proches aidantes",grand_montreal
