nom,adresse,description,telephone,courriel,site_web,territoire,clientele,categorie_territoire,secteur,secteur_secondaire,exclu
promis - promotion - intégration - société nouvelle,"3333, chemin de la Côte-Sainte-Catherine Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3T 1C8",Aide à l'installation et à l'intégration. Francisation: cours de français gratuits. Aide à l'emploi. Aide à l'établissement en région. Emplois hors de Montréal pour personnes immigrantes: www.emploise,514 345-1615,prisesderdv@promis.qc.ca,promis.qc.ca/fr,Grand Montréal,personnes immigrantes,grand_montreal,autres_missions_sociales,emploi,non
"chez doris, la fondation du refuge pour femmes - refuge de nuit elspeth mcconnell","1437, rue Chomedey Ville-Marie Montréal QC H3H 2A6","Hébergement d'urgence pour femmes pour un maximum de 15 nuits consécutives. Vestiaire, douches, buanderie, salle à manger avec cuisinette, salle d'intervention et salle de",514 937-2341 poste 221,info@chezdoris.org,www.chezdoris.org,île de Montréal,femmes en situation d'itinérance,montreal,soutien_vulnerabilite,logement,non
refuge mitshuap montréal,"2154, rue Sainte-Catherine Ouest Ville-Marie Montréal QC H3H 1M7",Refuge par et pour personnes autochtones. Hébergement d'urgence. Chaises de repos. Repas. Présence d'une équipe d'intervention.,438 466-2325,mitshuapmontreal@gmail.com,,île de Montréal,"personnes en situation d'itinérance, priorité aux personnes autochtones",montreal,soutien_vulnerabilite,logement,non
"chez doris, la fondation du refuge pour femmes","1430, rue Chomedey Ville-Marie Montréal QC H3H 2A7","Hébergement et centre Centre de jour: déjeuners, dîners et soupers gratuits, produits d'hygiène, vestiaire et douches, salle de repos incluant des lits de répit. Refuge de nuit Elspeth McConnell. Halt...",514 937-2341 poste 221,info@chezdoris.org,www.chezdoris.org,île de Montréal,"femmes en situation d'itinérance ou en difficulté, femmes inuites et autochtones",montreal,soutien_vulnerabilite,logement,non
"chez doris, la fondation du refuge pour femmes - halte chaleur hivernale","1430, rue Chomedey Ville-Marie Montréal QC H3H 2A7",Halte-chaleur. Lits en dortoir et fauteuils inclinables. Collation et breuvages. Couvertures et oreillers fournis.,514 937-2341 poste 260,info@chezdoris.org,https://chezdoris.org/,île de Montréal,femmes seules de 18 ans et plus en situation d'itinérance,montreal,soutien_vulnerabilite,,non
fédération québécoise des organismes communautaires famille,"222, avenue Victoria Saint-Lambert Montérégie QC J4P 2H6","Regroupement des organismes communautaires famille. Représentation et défense des droits. Information, sensibilisation et concertation.",1 866 982-9990,accueil@fqocf.org,fqocf.org,le Québec,"familles, organismes communautaires famille",provincial,developpement_enfants_familles,defense_droits,non
centre des femmes dynamiques de laval,"3509, boulevard de la Concorde Est, bureau 202 Duvernay Laval QC H7E 2C6","Lieu de rencontre, de référence et de soutien. Activités communautaires et éducatives. Conférences. Écoute et information. Activités physiques. Ateliers de prévention en santé globale. Dîners communau...",450 661-5409,femmedynamique@live.ca,,Grand Montréal,femmes de 50 ans et plus,grand_montreal,sante,developpement_communautaire,non
desta réseau de la jeunesse noire,"1950, rue Saint-Antoine Ouest Le Sud-Ouest Montréal QC H3J 1A5",Soutien aux jeunes adultes issus de la communauté noire. Information et référence. Prévention du décrochage scolaire. Cours d'éducation à distance subventionnés. Programme d'employabilité: orientation...,514 664-5042,support@destabyn.org,destabyn.org,Grand Montréal,personnes de 18 à 35 ans issues de la communauté noire,grand_montreal,education_formation,emploi,non
communauté hadley - maison principale,"1197, avenue Seymour Ville-Marie Montréal QC H3H 2A4","Résidence pour hommes aux prises avec des luttes permanentes. Travailleur social à l'appui. Cours de yoga, cours d'art, sports variés. Gestion de l'argent et des médicaments pour les locataires. Place...",514 933-6916,managerclientservices@hadleycommunity.ca,hadleycommunity.ca,île de Montréal,"hommes et hommes transgenres de 18 ans et plus vivant avec des problèmes de toxicomanie, des maladies mentales ou à risque d'itinérance",montreal,soutien_vulnerabilite,sante,non
communauté hadley - maison d'anne,"1197, avenue Seymour Ville-Marie Montréal QC H3H 2A4",Résidence pour femmes semi-autonomes. Soutien d'un·e travailleur·euse social·e. Activités et programmes préparant les résidentes souhaitant passer à un logement moins supervisé.,514 933-6916 poste 218,managerclientservices@hadleycommunity.ca,hadleycommunity.ca,île de Montréal,"femmes et femmes transgenres semi-autonomes vivant avec un problème de santé mentale, à risque d'itinérance ou en rétablissement d'une dépendance",montreal,sante,soutien_vulnerabilite,non
communauté hadley - maison john,"1222, avenue Seymour Ville-Marie Montréal QC H3H 2A5",Résidence pour jeunes hommes. Soutien d'un·e travailleur·euse social·e. Activités et programmes préparant les personnes résidentes qui souhaitent passer à un logement moins supervisé.,514 933-6916 poste 218,managerclientservices@hadleycommunity.ca,hadleycommunity.ca,île de Montréal,"hommes de 20 à 35 ans qui luttent contre les problèmes de santé mentale, les traumatismes, la dépendance, l'itinérance ou à risque d'itinérance",montreal,soutien_vulnerabilite,logement,non
clé des champs - réseau d'entraide pour personnes souffrant de troubles anxieux (la),"398, boulevard Henri-Bourassa Ouest Ahuntsic-Cartierville Montréal QC H3L 3T5",Groupes d'entraide composés de 10 rencontres hebdomadaires. Information et outils pour gérer l'anxiété. Liste d'organismes oeuvrant dans le domaine. Boutique de ressour,514 334-1587,lacle@lacledeschamps.org,lacledeschamps.org,Grand Montréal,personnes de 18 ans et plus vivant avec des troubles anxieux,grand_montreal,sante,soutien_vulnerabilite,non
carrefour jeunesse-emploi côte-des-neiges - clinique d'impôts,"6555, chemin de la Côte-des-Neiges, bureau 240 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2A6",Clinique d'impôts par dépôt.,514 342-5678 poste 257,info@cjecdn.qc.ca,www.cjecdn.qc.ca,île de Montréal,"personnes de 16 ans et plus, étudiant·e·s, citoyen·ne·s canadien·ne·s, résident·e·s permanent·es, réfugié·e·s",montreal,soutien_vulnerabilite,emploi,non
centre d'écoute et de référence multi-écoute,"3600, avenue Barclay, bureau 460 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 1K5",Écoute confidentielle et anonyme par téléphone ou en personne. Suivi psychosocial à court ou moyen terme offert dans la langue maternelle de la personne ayant besoin de suivi. Information et référence...,514 378-3430,direction@multiecoute.org,multiecoute.org,Grand Montréal,"toute personne ayant besoin d'aide, personnes immigrantes",grand_montreal,soutien_vulnerabilite,autres_missions_sociales,non
centre de recherche d'emploi côte-des-neiges,"3600, avenue Barclay, bureau 421 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 1K5","Accompagnement pour intégrer le marché du travail. Club de recherche d'emploi: sessions de groupe d'une durée de 3 semaines. Rédaction de CV, de lettres de présentation et service rapide de production...",514 733-3026,info@crecdn.com,crecdn.com,île de Montréal,"personnes de 16 ans et plus sans emploi, personnes immigrantes, réfugiées, étudiant·e·s post-gradué·e·s",montreal,emploi,autres_missions_sociales,non
regroupement des organismes du montréal ethnique pour le logement,"6555, chemin de la Côte-des-Neiges, bureau 400 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2A6","Information, orientation et référence en matière de logement. Recherche de logement. Aide et appui aux victimes de discrimination. Formation sur le logement et sur le bail en plusieurs la",514 341-1057 poste 200,information@romel-montreal.ca,romel-montreal.ca,île de Montréal,"locataires, immigrants, propriétaires",montreal,logement,defense_droits,non
regroupement des organismes du montréal ethnique pour le logement - maison prud'homme,"6555, chemin de la Côte-des-Neiges, bureau 400 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2A6",Chambres d'hébergement temporaire pour femmes. Location au mois.,514 341-1057 poste 200,information@romel-montreal.ca,romel-montreal.ca,île de Montréal,"femmes de 18 ans et plus en situation d'itinérance, sans enfants",montreal,logement,soutien_vulnerabilite,non
association cigogne,"3600, avenue Barclay, bureau 342 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 1K4",Soutien aux parents aux études pour concilier études et rôle parental. Écoute. Cafés-rencontres. Comptoir vestimentaire. Coin allaitement. Poste de travail. Cuisine collective mensuelle. Panier alimen...,514 341-0254,info@cigogne.ca,associationcigogne.com,Montréal,étudiant·es avec un enfant ou en attente d'un enfant,montreal,developpement_enfants_familles,bien_etre_alimentaire,non
fondation espace espoir,"7001, chemin de la Côte-des-Neiges Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2B6",Organisme visant à améliorer la vie des jeunes vivant avec une maladie chronique ou un handicap. Rénovation de chambres à coucher afin de les transformer en un lieu inspirant.,514 739-1088,info@espaceespoir.org,www.espaceespoir.org,Grand Montréal,"personnes de 4 à 17 ans vivant avec une maladie chronique ou un handicap, résidant dans un rayon de 30 km de l'organisme et pour qui aucun autre organisme n'a réalisé de projet semblable",grand_montreal,sante,developpement_enfants_familles,non
petales québec,"39A, boulevard Gouin Ouest Ahuntsic-Cartierville Montréal QC H3L 1H9","Soutien, accompagnement et sensibilisation au sujet des enjeux d'attachement et des troubles de l'attachement. Ligne téléphonique d'information, d'écoute et d'accompagnement. Soutien et accompagnement...",1 877 326-4154,info@petalesquebec.org,www.petalesquebec.org/fr,le Québec,"parents biologiques, familles recomposées, familles d'accueil et d'adoption, proches et personnes amies d'enfants, d'adolescent·e·s et d'adultes présentant des enjeux d'attachement ou des troubles de l'attachement, professionnel·le·s, intervenant·e·s",provincial,sante,developpement_enfants_familles,non
centre de psychologie gouin,"39, boulevard Gouin Ouest Ahuntsic-Cartierville Montréal QC H3L 1H9",Thérapie familiale et individuelle. Thérapie par le jeu. Thérapie de groupe. Clinique de la petite enfance et de l'attachement pour 0 à 5 ans: dépistage de diverses problématiques. Clinique de l'enfan...,514 331-5530,admin-cpg@cpgouin.ca,www.cpgouin.ca,Grand Montréal,"enfants, adolescent·e·s, adultes, familles, groupes, évaluations neuropsychologiques: enfants, adolescent·e·s",grand_montreal,sante,developpement_enfants_familles,non
café de la maison ronde,"2330, rue Sainte-Catherine Ouest Ville-Marie Montréal QC H3H 1N2","Accompagnement des personnes autochtones de 18 ans et plus en situation de vulnérabilité économique et sociale vers la citoyenneté entière. Volet 1, programme de travail alternatif à la journée: 1 qua...",514 872-9465,marilou.maisonneuve@itineraire.ca,www.itineraire.ca/programme-maison-ronde,Grand Montréal,"personnes autochtones de 18 ans et plus en situation de vulnérabilité économique et sociale (itinérance, pauvreté, isolement et exclusion sociale, éloignement du marché du travail, toxicomanie, santé mentale, etc.)",grand_montreal,soutien_vulnerabilite,developpement_communautaire,non
havre (le),"440, avenue Notre-Dame Saint-Lambert Montérégie QC J4P 2K4","Logement à long terme pour personnes atteintes d'une maladie mentale. Visites amicales, contacts sociaux réguliers. Assistance pour les procédures médicales, sociales et de services sociaux. Référence...",450 671-9160,info@ourharbour.org,ourharbour.org,"île de Montréal, Montérégie, Estrie",personnes de 18 ans et plus vivant avec un diagnostic de santé mentale,montreal,sante,logement,non
centre international de l'espoir,"5885, chemin De la Côte-des-Neiges Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2T2","Aide aux familles vivant en situation de pauvreté. Programme Banque du bébé et de l'enfant: aide matérielle (lait, dons de mobilier, équipements, jouets et accessoires de base) pour nouveaux-nés et po...",514 561-1088,infos@ciespoir.org,,île de Montréal,"femmes enceintes vivant en situation de pauvreté, enfants de 0 à 5 ans, familles à faible revenu avec ou sans statut de résidence",montreal,developpement_enfants_familles,bien_etre_alimentaire,non
art-rivé (l') - centre de jour de rivière-des-prairies,"8178, boulevard Maurice-Duplessis Rivière-des-Prairies—Pointe-aux-Trembles Montréal QC H1E 2Y5","Rencontres d'accueil. Information et orientation. Écoute ponctuelle et suivi. Accueil repas pour le dîner. Groupes de soutien et d'entraide. Ateliers d'art et de créativité. Activités éducatives, d",514 648-4888,info@art-rive.qc.ca,www.art-rive.qc.ca,île de Montréal,personnes autonomes de 18 ans et plus ayant des problèmes de santé mentale transitoires ou persistants,montreal,sante,arts_culture_medias,oui
association de la communauté noire de côte-des-neiges,"6585, chemin de la Côte-des-Neiges Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2A5","Soutien et activités pour la communauté noire anglophone. Information, référence.? Paniers de nourriture. Activités sportives pour adolescent·e·s, adultes et personnes aînées. Activités et ateliers s",514 737-8321,info@cdnbca.org,cdnbca.org,Grand Montréal,familles et personnes de la communauté noire,grand_montreal,developpement_communautaire,bien_etre_alimentaire,non
"service d'interprète, d'aide et de référence aux immigrants - clinique d'impôts","6767, chemin de la Côte-des-Neiges, bureau 499 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2T6","Clinique d'impôts sans rendez-vous, à l'année.",514 738-4763,info@siari.org,www.siari.org,île de Montréal,personnes immigrantes et personnes nouvelles arrivantes à faible revenu,montreal,autres_missions_sociales,education_formation,non
centre culturel canadien-bulgare zornica,"6767, chemin de la Côte-des-Neiges, bureau 693-3 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2T6","Immigration Accueil et accompagnement pour personnes nouvellement arrivées. Traduction en bulgare, anglais, français. Cours de langue: français, anglais, bulgare.Logement Aide à la recherche de logeme...",514 629-6951,zornica.info@gmail.com,www.zornitsa.ca/fr,Grand Montréal,"cours de bulgare et événements culturels: grand public, autres services: personnes de la communauté bulgare, personnes nouvellement arrivées",grand_montreal,autres_missions_sociales,education_formation,non
centre communautaire irakien,"6767, chemin de la Côte-des-Neiges, bureau 601-4 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2T6",Assistance à la communauté irakienne. Aide à la recherche de logement et d'emploi. Organisation d'activités communautaires. Représentation de la communauté auprès des instances locales et nationales. ...,,info@iraqicommunitycenter.com,iraqicommunitycenter.com,île de Montréal,personnes faisant partie de la communauté irakienne,montreal,autres_missions_sociales,developpement_communautaire,non
communauté moldave du québec,"6767, chemin de la Côte-des-Neiges, bureau 693-5 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2T6","Intégration de la communauté moldave et roumaine à la société québécoise. Coopération intergénérationnelle. Aide aux personnes nouvellement arrivées: formation sur l'intégration, consultations individ...",438 937-3608,cm.quebec@yahoo.com,www.moldovaquebec.ca,le Québec,communauté de l'Europe de l'Est,provincial,autres_missions_sociales,developpement_communautaire,non
communauté vietnamienne au canada - région montréal,"6767, chemin de la Côte-des-Neiges, bureau 495 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2T6",Services de références et d'accompagnement dans la démarche d'intégration pour les personnes de la communauté vietnamienne. Information et références. Accompagnement dans la recherche d'emploi. Cours ...,514 340-9630,communaute.viet.montreal@gmail.com,communautevietmontreal.com,Grand Montréal,population d'origine vietnamienne,grand_montreal,autres_missions_sociales,emploi,non
femmes du monde à côte-des-neiges,"6767, chemin de la Côte-des-Neiges, bureau 597 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2T6","Centre de femmes. Accueil, information, référence. Écoute en personne ou par téléphone. Groupe de soutien aux sujets variés: violence conjugale, santé mentale, gestion des émotions, relations difficil...",514 735-9027,info@femmesdumondecdn.org,femmesdumondecdn.org,Côte-des-Neiges-Notre-Dame-de-Grâce et Montréal,femmes et personnes non-binaires de 18 ans et plus,montreal,soutien_vulnerabilite,sante,non
centre d'orientation des nouveaux arrivants et immigrants de montréal,"6767, chemin de la Côte-des-Neiges, bureau 693-4 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2T6",Accueil et références. Consultation individuelle. Certification de documents. Préparation à l'examen de citoyenneté. Employabilité: aide à la rédaction de CV et de lettres de présent,514 733-0738,conamc6@hotmail.ca,www.conam.sitew.ca,Grand Montréal,"personnes nouvellement arrivées, personnes immigrantes, toute personne dans le besoin",grand_montreal,autres_missions_sociales,emploi,non
"service d'interprète, d'aide et de référence aux immigrants","6767, chemin de la Côte-des-Neiges, bureau 499 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 2T6",Alimentation Distribution de denrées alimentaires.Immigrants Vêtements d'hiver. Accompagnement des personnes nouvellement arrivées dans toutes leurs démarches d'intégration. Accompagnement au r,514 738-4763,info@siari.org,www.siari.org,Québec,"personnes et familles immigrantes, cartes d'attestation: personnes avec un statut précaire ou de résident temporaire qui n'ont pas obtenu le renouvellement de leur visa de touriste, de leur permis d'études ou de leur permis de travail, et qui n'ont pas quitté le Canada, personnes dont la demande d'asile a été refusée, personnes entrées au Canada de façon irrégulière, personnes trans en attente de nouveaux documents d'identification, personnes en situation d'itinérance",provincial,autres_missions_sociales,bien_etre_alimentaire,non
institut de formation d'aide communautaire à l'enfant et à la famille,"560, boulevard Henri-Bourassa Ouest, bureau 209 Ahuntsic-Cartierville Montréal QC H3L 1P4","Thérapie individuelle, conjugale et familiale. Psychodrame. Consultation parentale. Écoles: intervention auprès des élèves, programmes de perfectionnement pour les enseignant·e·s et",514 388-7216,ifacef@ifacef.com,,le Québec,"enfants, familles, écoles, centres jeunesse, organismes communautaires, intervenant·e·s",provincial,sante,developpement_enfants_familles,non
société huntington du québec,"2300, boulevard René-Lévesque Ouest Ville-Marie Montréal QC H3H 2R5","Ateliers de stimulation sensorimotrice hebdomadaires pour les personnes atteintes. Écoute, soutien et références. Documentation en ligne. Groupe d'entraide ouvert pour les proches aidant·e·s et les fa...",1 877 282-2444,shq@huntingtonqc.org,www.huntingtonqc.org,le Québec,"adultes et adolescent·e·s atteint·e·s de la maladie de Huntington, leurs proches aidant·e·s, leur famille, les professionnels de santé travaillant avec eux",provincial,sante,soutien_vulnerabilite,non
fondation papillon,"2300, boulevard René-Lévesque Ouest Ville-Marie Montréal QC H3H 2R5","Les Répits Papillon accueillent des personnes en situation de handicap, âgées de 3 ans et plus, pour un séjour d'un week-end, afin de permettre à leurs proches de se reposer.Camp de vacances adapté Ca...",1 877 937-6171,info@fondationpapillon.ca,fondationpapillon.ca,le Québec,"personnes vivant avec un handicap physique, intellectuel ou un trouble du spectre de l'autisme, garderie Papillon: enfants de 3 mois à 5 ans, vivant avec ou sans un handicap physique, intellectuel ou un trouble du spectre de l'autisme, centre de jour: adultes de 21 ans et plus",provincial,sante,developpement_enfants_familles,non
résidence ymca,"4039, rue Tupper Westmount Montréal QC H3Z 1T5",Hébergement temporaire avec services. Vestiaire d'urgence. Salle familiale et sorties socioculturelles. Information et aide avec le processus d'immigration et d'intégration pour réfugié·e·s. Ateliers ...,514 932-5353,baptiste.duburcq@ymcaquebec.org,www.ymcaquebec.org,le Québec,"réfugié·e·s et demandeur·euse·s d'asile nouvellement arrivé·e·s au Canada, hébergement: réfugié·e·s et demandeur·euse·s d'asile, avec ou sans enfants, arrivé·e·s depuis moins de 10 jours au Québec",provincial,soutien_vulnerabilite,logement,non
unicef québec,"4060, rue Sainte-Catherine Ouest, bureau 400 Westmount Montréal QC H3Z 2Z3",Organisation humanitaire qui vise à l'amélioration et à la promotion de la condition des enfants. Promotion des droits et du bien-être des enfants et des jeunes. Collecte de fonds pour soutenir les pr...,514 288-5134,info@unicef.ca,www.unicef.ca/fr,le Québec,,provincial,defense_droits,developpement_enfants_familles,non
march of dimes after stroke - montréal stroke club chapter,"395, avenue Elm Westmount Montréal QC H3Z 1Z4",Groupes de soutien par les pairs. Réseau de soutien et activités sociales. Club pour les victimes d'AVC en convalescence. Répit pour les aidants. Orthophonie. Arts et artisanat.,1 888 540-6666,afterstroke@marchofdimes.ca,www.apres-avc.ca,Grand Montréal,"personnes ayant survécu à un AVC, leur famille, aidant·e·s, professionnel·le·s de la santé, bénévoles, ami·e·s",grand_montreal,sante,soutien_vulnerabilite,non
cancer colorectal canada,"1, carré Westmount, bureau 1630 Westmount Montréal QC H3Z 2P9","Soutien aux personnes vivant avec le cancer colorectal. Information et soutien psychologique individuel par téléphone. Groupes de soutien en virtuel. Sensibilisation, séances d'éducation et webinaires...",514 875-7745,info@colorectalcancercanada.com,www.colorectalcancercanada.com/fr,le Québec,"adultes vivant avec le cancer colorectal, leurs proches et personnes proches aidantes",provincial,sante,soutien_vulnerabilite,non
habitations saint-christophe (les),"15, rue Berri, bureau 1 Pont-Viau Laval QC H7G 2W4",Logements subventionnés avec services pour personnes aînées en perte d'autonomie. Chambres et 3½. Logements adaptés pour personnes à mobilité réduite. Présence d'un·e préposé·e aux bénéficiaires 24 he...,450 688-0184,info@omhlaval.ca,,le Québec,"personnes en perte d'autonomie sévère, adultes vivant avec une déficience physique grave",provincial,logement,sante,oui
centre d'intégration à la vie active,"525, rue Dominion, bureau 330 Le Sud-Ouest Montréal QC H3J 2B4","Centre de loisirs et d'activités sportives, sociales, culturelles et récréatives pour personnes en situation de handicap. Soutien à l'intégration. Prêt de matériel sportif et de plein air. Volet jeune...",514 935-1109,info@civa.qc.ca,civa.qc.ca,île de Montréal,personnes en situation de handicap moteur,montreal,sports_loisirs_tourisme,soutien_vulnerabilite,oui
acouphènes québec,"1405, boulevard Henri-Bourassa Ouest, bureau 100 Ahuntsic-Cartierville Montréal QC H3M 3B2",Service de renseignements téléphoniques sur les acouphènes. Soutien par téléphone. Référence vers les ressources professionnelles régionales. Groupe d'entraide mensuel ouvert.,1 877 276-7772,info@acouphenesquebec.org,acouphenesquebec.org,le Québec,personnes aux prises avec de l'acouphène,provincial,sante,soutien_vulnerabilite,non
centre communautaire de l'avenue greene,"1090, avenue Greene Westmount Montréal QC H3Z 1Z9","Programme parascolaire. Camps de jour. Dîners communautaires pour personnes aînées. Activités sportives, créatives et éducatives. Ateliers. Location de salle.",514 931-6202,info@centregreene.org,centregreene.org/bienvenue,île de Montréal,grand public,montreal,developpement_communautaire,sports_loisirs_tourisme,oui
société d'entraide des femmes grecques (la),"275, rue Houde, bureau 203 Saint-Laurent Montréal QC H4N 2J3",Intervention de crise. Dépannage alimentaire. Aide pour le paiement du loyer. Accompagnement dans les services publics. Aide financière pour frais de camps d'été pour enfants et personnes vivant avec ...,514 344-1666,info@hlbs.ca,www.hlbs.ca,Grand Montréal,personnes défavorisées de la communauté grecque,grand_montreal,soutien_vulnerabilite,bien_etre_alimentaire,non
front commun des personnes assistées sociales du québec,"2520, avenue Lionel-Groulx, bureau 322 Le Sud-Ouest Montréal QC H3J 1J8",Défense des droits des personnes assistées sociales. Regroupements. Référence vers les organismes régionaux.,514 987-1989,admin@fcpasq.qc.ca,fcpasq.qc.ca,le Québec,groupes et personnes assistées sociales,provincial,defense_droits,,non
fédération des locataires d'habitations à loyer modique du québec,"2520, avenue Lionel-Groulx, bureau 202 Le Sud-Ouest Montréal QC H3J 1J8",Défense de droits. Représentation des locataires des HLM auprès de différents paliers gouvernementaux. Information et soutien technique. Publications.,1 800 566-9662,info@flhlmq.com,flhlmq.com,le Québec,locataires des habitations à loyer modique,provincial,defense_droits,logement,non
association jamaïcaine de montréal,"4065, rue Jean-Talon Ouest Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H4P 1W6","Soutien à la communauté jamaïcaine. Banque alimentaire. Aide aux immigrant·e·s jamaïcain·ne·s: aide avec le passeport jamaïcain, aide à l'application pour la citoyenneté canadienne, informations et ré...",514 737-8229,info@jam-montreal.com,jam-montreal.com,île de Montréal,"personnes d'origine jamaïcaine, banque alimentaire: personnes dans le besoin, programme Au Futur: jeunes femmes noires monoparentales de 15 à 35 ans",montreal,autres_missions_sociales,bien_etre_alimentaire,non
club de recherche d'emploi montréal centre-nord,"1600, boulevard Henri-Bourassa Ouest, bureau 370 Ahuntsic-Cartierville Montréal QC H3M 3E2","Ateliers de recherche d'emploi. Aide à la rédaction de CV, préparation aux entrevues. Services spécialisés pour personnes nouvellement arrivées. Exploration du marché caché de l'emploi. Aide pour remp...",514 858-6611,cre@cremcn.org,cremcn.org,île de Montréal,"personnes cherchant du travail et ayant un objectif d'emploi clair, personnes nouvellement arrivées à la recherche d'un emploi",montreal,emploi,autres_missions_sociales,non
cercle amical de montréal,"4585, avenue Bourret Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3S 1X1","Favorise l'inclusion et l'interaction des enfants, adolescent·e·s et jeunes adultes ayant des besoins spécifiques. Jumelage avec des adolescents neurotypiques pour participer à des activités sociales ...",514 735-2255,info@friendshipcircle.ca,www.cercledelamitie.ca,île de Montréal,"enfants, adolescent·e·s et jeunes adultes avec des besoins particuliers liés au trouble du spectre de l'autisme, aux troubles envahissants du développement, aux troubles d'apprentissage, aux déficiences physiques ou intellectuelles, aux lésions cérébrales ou autres, leurs familles",montreal,sante,developpement_enfants_familles,non
abri en ville (l'),"2352, rue Duvernay Le Sud-Ouest Montréal QC H3J 2X1",Logement stable. Soutien à l'amélioration des aptitudes à la vie quotidienne. Activités sociales et loisirs. Suivi hebdomadaire ou sur demande.,514 932-2199,info@labrienville.org,www.labrienville.org,Grand Montréal,adultes vivant avec une maladie mentale grave,grand_montreal,logement,sante,non
montréal autochtone,"3183, rue Saint-Jacques Le Sud-Ouest Montréal QC H4C 1G7","Lieu de rencontre. Programme de bien-être familial: soutien éducatif aux enfants, aide pour trouver les services, services culturels pour les familles. Camps de jour de printemps et d'été Iorahkote. C...",514 331-6587 poste 210,info@nativemontreal.com,nativemontreal.com/fr/acceuil,Grand Montréal,"communauté autochtone urbaine, familles, jeunes, personnes aînées",grand_montreal,developpement_enfants_familles,developpement_communautaire,non
observatoire vieillissement et société (l'),"4565, chemin Queen-Mary, bureau C2628 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3W 1W5",Groupe de recherche pour le mieux-être des personnes aînées. Ateliers de sensibilisation: lutte contre l'âgisme et la maltraitance. Espace réflexion: rencontre mensuelle offrant un lieu de discussion ...,514 340-3540 poste 3927,info@ovs-oas.org,ovs-oas.org,le Québec,grand public,provincial,sante,education_formation,non
centre de bien-être l'espoir c'est la vie,"4635, chemin de la Côte-Sainte-Catherine Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3W 1M1","Groupes d'entraide en français et en anglais pour personnes ayant un cancer, personnes proches aidantes et personnes vivant un deuil relié au cancer. Jumelage et soutien par des bénévoles. Activités e...",514 340-3616,hopecope@jgh.mcgill.ca,hopeandcope.ca/fr/?lang=fr,Grand Montréal,"personnes ayant un diagnostic de cancer, personnes proches aidantes",grand_montreal,sante,soutien_vulnerabilite,non
chabad lifeline,"4615, chemin de la Côte-Sainte-Catherine Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3W 1M1","Réadaptation externe pour personnes aux prises avec une dépendance. Dépendances traitées: drogues, alcool, sexe, pornographie, jeu, médicaments, Internet, téléphone intelligent et jeux vidéos. Thérapi...",514 738-7700,lifelineinfo@chabadlifeline.com,www.chabadlifeline.com,île de Montréal,"personnes en détresse en raison d'une dépendance, leur famille, services jeunesse: personnes adolescentes à risque de développer une dépendance et jeunes ayant grandi dans une famille ayant des problèmes de dépendance",montreal,sante,soutien_vulnerabilite,non
carrefour point tournant,"1111, rue Beauregard Longueuil Montérégie QC J4K 2L2",Centre de réadaptation interne de 3 mois. Programme distinct pour les dépendances aux substances. Programme thérapeutique de 12 semaines avec hébergement. Accueil et évaluation. Rencontres individuell...,450 651-0418,info@carrefourlepointtournant.com,www.carrefourlepointtournant.com,le Québec,"hommes de 18 ans et plus présentant une problématique dominante aux substances psychoactives (alcool, drogues, médicament)",provincial,sante,soutien_vulnerabilite,non
centre des travailleurs et travailleuses immigrants,"4755, avenue Van Horne, bureau 110 Côte-des-Neiges—Notre-Dame-de-Grâce Montréal QC H3W 1H8",Défense des droits. Information et références. Éducation sur les droits des travailleurs par l'entremise de campagnes de sensibilisation visant particulièrement les travailleur·euse·s temporaires et c...,514 342-2111,info@iwc-cti.ca,iwc-cti.ca/fr,Grand Montréal,travailleur·euse·s immigrant·e·s,grand_montreal,defense_droits,education_formation,non
